Source,Target,Type,id,label,timeset,weight,text
aspiringspartan,3brasseursca,Directed,4163,,,1.0,"Poutine, flatbread, &amp; mussels at @3BrasseursCA to start our #aiascs experience off right. Thx to server Paige 4 add… https://t.co/q7rb1hsQBO"
maplemuse,absentminddmama,Directed,4164,,,1.0,The latest Nick's Digital Humanities Daily! https://t.co/TPDOzzIpaw Thanks to @PamelaIngleton @violawiegand @absentminddmama #aiascs
opietasanimi,acebeek,Directed,4165,,,1.0,"RT @acebeek: Hope to see everyone at #AIASCS--first thing on Friday, at the Representing Gender panel. https://t.co/uADHayjUly"
jennisifire,aclclass,Directed,4166,,,1.0,RT @DCComm: Liane Houghtalin giving great ideas for using material culture in the intro language class in Gk and Latin. #aiascs w @ACLClass…
rogueclassicist,aclclass,Directed,4167,,,1.0,RT @DCComm: Liane Houghtalin giving great ideas for using material culture in the intro language class in Gk and Latin. #aiascs w @ACLClass…
rogueclassicist,aclclassics,Directed,4168,,,5.0,RT @DCComm: Major: @ACLClassics standards can make Greek newly meaningful in a 21st century educational context. #aiascs
dccomm,aclclassics,Directed,4169,,,3.0,Major: @ACLClassics standards can make Greek newly meaningful in a 21st century educational context. #aiascs
jd_phd,aclclassics,Directed,4170,,,1.0,Second talk and already behind schedule. 🙁 #aiascs
papyrologus,aclclassics,Directed,4171,,,2.0,Some great questions for visualizing ancient evidence in #dh maps and models  #aiascs #AncMakers https://t.co/AQU31j6tc4
ryanmhorne,aclclassics,Directed,4172,,,2.0,TB: Using a 3 point scale for certainty. #aiascs #ancmakers
opietasanimi,aclclassics,Directed,4173,,,2.0,[obviously live tweeters are attracted to Ancient MakerSpaces #AncMakers - so you're going to see very good coverage today #aiascs]
jaredsimard,aclclassics,Directed,4174,,,4.0,Sample lesson plan: 1. teacher modeling 2. student involvement and personalization -Gruber-Miller #s31 #aiascs 1/3
villaceque51,acrsn_org,Directed,4175,,,2.0,RT @ACRSN_org: Classical reception panels @scsclassics 2017 (Toronto) #aiascs 2/2 https://t.co/01V0woCPCu
rogueclassicist,acrsn_org,Directed,4176,,,2.0,RT @ACRSN_org: Classical reception panels @scsclassics 2017 (Toronto) #aiascs 2/2 https://t.co/01V0woCPCu
diyclassics,acrsn_org,Directed,4177,,,2.0,RT @ACRSN_org: Classical reception panels @scsclassics 2017 (Toronto) #aiascs 2/2 https://t.co/01V0woCPCu
rogueclassicist,adreinhard,Directed,4178,,,2.0,"SB: from a pedagogical standpoint, the play side of things is useful ... mentions @adreinhard and archaeogaming #aiascs #AncMakers"
opietasanimi,adreinhard,Directed,4179,,,2.0,"she's drawing attention to fact scholarship is conducted in Eng, German, French, Italian; not Chinese; another language barrier #aiascs #s46"
peripatesis,agakhanmuseum,Directed,4180,,,1.0,"Skipped out on the #aiascs today to show one of my oldest friends around Toronto - shoe shopping, tea &amp; treats, and the @AgaKhanMuseum"
beldonstevens,aircanada,Directed,4181,,,4.0,3-hour flight I'm like / nobody told me my / nostrils aren't right #adbenture #aiascs @aircanada… https://t.co/QTz1twEjLt
peregrinekiwi,aircanada,Directed,4182,,,1.0,Crane: the field is available to be rebuilt. Treebanks replace the LSJ with better data. Open texts. It's a new fie… https://t.co/8XUoYEHpWy
mxmcadam,akane1066,Directed,4183,,,1.0,RT @akane1066: .@OUPress is ready for #AIASCS! https://t.co/ValfcLkHJx
indwellinglang,alexander_ver,Directed,4184,,,1.0,"RT @QDicitur: Also @latinitium (language, lit, culture) &amp; @Alexander_Ver's Sermones Raedarii https://t.co/QYt3n7gpnM #aiascs #s4 #outreach…"
salvi_sitis,alexander_ver,Directed,4185,,,1.0,"RT @QDicitur: Also @latinitium (language, lit, culture) &amp; @Alexander_Ver's Sermones Raedarii https://t.co/QYt3n7gpnM #aiascs #s4 #outreach…"
idaostenberg,alexander_ver,Directed,4186,,,1.0,"Was in San Francisco last year and enjoyed every minute, skipped Toronto this, but hope to be able to join #aiascs next year in Boston."
qdicitur,alexander_ver,Directed,4187,,,1.0,"Also @latinitium (language, lit, culture) &amp; @Alexander_Ver's Sermones Raedarii https://t.co/QYt3n7gpnM #aiascs #s4… https://t.co/1jxkanfknR"
aspiringspartan,alexandriayen,Directed,4188,,,3.0,RT @alexandriayen: @meghandemaria @stevenatschool and @AspiringSpartan braving some Toronto cold at #aiascs https://t.co/MyE9JinYNn
k_mcbrizz,alexandriayen,Directed,4189,,,1.0,"Interested in networks, objects in motion, transgression of Roman borders? Visit session 1A: ""Transformative Movement"" Fri, 8am! #aiascs"
maplemuse,aliciagarza_,Directed,4190,,,1.0,The latest Nick's Digital Humanities Daily! https://t.co/TPDOzzIpaw Thanks to @tur_alexandre @uwaterlooARTS @AliciaGarza_ #mla17 #aiascs
iuinfograd,altmetric,Directed,4191,,,5.0,"RT @altmetric: This week is big for #humanities conferences! We're following #AIASCS, #MLA2017, and #AHA2017 from afar, great #scholcomm to…"
opietasanimi,altmetric,Directed,4192,,,10.0,ham shape of sundial connects w ideas in previous paper on Epicureanism of time/eating/drinking/sex #aiascs #s39
benmcleish,altmetric,Directed,4193,,,1.0,RT @charleswatkinso: @SarahEBond is an #AIASCS @Altmetric all-star. AM score of 98 and counting!  30% off her book with code UMAIASCS17 htt…
zacharytaylor95,altmetric,Directed,4194,,,1.0,My proudest moment of AIA-SCS thus far: asking a question about Maurice Merleau-Ponty after a lecture on Plotinus and the soul. #AIASCS
peripatesis,altmetric,Directed,4195,,,1.0,And I'm up in half an hour! #aiascs
jaredsimard,altmetric,Directed,4196,,,4.0,"Peter Clarke's ""Annunciation"" 1987 collage. -Parker. Reminds me of Romare Bearden's famous collage work on the Odyssey #s20 #aiascs"
altmetric,altmetric,Directed,4197,,,1.0,RT @charleswatkinso: @SarahEBond is an #AIASCS @Altmetric all-star. AM score of 98 and counting!  30% off her book with code UMAIASCS17 htt…
diyclassics,altmetric,Directed,4198,,,5.0,"Shoutout to #LAWDI from Blackwell: ""Changed my life."" #aiascs #s24"
lizcoops,altmetric,Directed,4199,,,5.0,B-S: Indian horses repelled by bad scent as womb was (supposedly) repelled by bad smells being wafted at vagina (!) #ancientmed #aiascs #s19
lislanna,altmetric,Directed,4200,,,3.0,Parker: there is space in #Classics for creative dialogue about colonial relationships. #s20 #aiascs
charleswatkinso,altmetric,Directed,4201,,,1.0,@SarahEBond is an #AIASCS @Altmetric all-star. AM score of 98 and counting!  30% off her book with code UMAIASCS17… https://t.co/5d5qdHavd5
adamarenson,altmetric,Directed,4202,,,5.0,"RT @altmetric: This week is big for #humanities conferences! We're following #AIASCS, #MLA2017, and #AHA2017 from afar, great #scholcomm to…"
ntelkins,altmetric,Directed,4203,,,1.0,A stunning exhibit of Gothic miniature boxwood sculptures at the Art Gallery of Ontario! Check it out. #aiascs https://t.co/uDXyZx4BF2
drlisatrentin,altmetric,Directed,4204,,,1.0,"Come one, come all! Welcome to Toronto! Looking forward to a great conference #aiascs https://t.co/5EL9Vfc9T4"
mondo19641,am_christensen,Directed,4205,,,1.0,RT @AM_Christensen: Love @opietasanimi linking all tweets from a session by replying to self. Brilliant idea. #aiascs
adri_writes,am_christensen,Directed,4206,,,4.0,RT @AM_Christensen: Added a few columns to my tweetdeck. #aiascs #aha17 #mla17 #sha17
rogueclassicist,am_christensen,Directed,4207,,,5.0,RT @AM_Christensen: Added a few columns to my tweetdeck. #aiascs #aha17 #mla17 #sha17
matthewlloyd85,am_christensen,Directed,4208,,,1.0,I too would like more details on this difference. #aiascs https://t.co/vWnolezeg0
opietasanimi,am_christensen,Directed,4209,,,1.0,RT @AM_Christensen: Love @opietasanimi linking all tweets from a session by replying to self. Brilliant idea. #aiascs
classicslib,am_christensen,Directed,4210,,,1.0,RT @AM_Christensen: Love @opietasanimi linking all tweets from a session by replying to self. Brilliant idea. #aiascs
diffendale,amacademyrome,Directed,4211,,,1.0,RT @JD_PhD: Those #Regia archival items at @AmAcademyRome. #aiascs https://t.co/vZrBGomk8n
jd_phd,amacademyrome,Directed,4212,,,2.0,Those #Regia archival items at @AmAcademyRome. #aiascs https://t.co/vZrBGomk8n
women_scholars,ancientjew,Directed,4213,,,1.0,RT @ancientjew: AJR is in Toronto for #AIASCS - look out for @ErinCGW and find out how to get involved writing book notes and diss spotligh…
soraaadworkshop,ancientjew,Directed,4214,,,1.0,RT @ancientjew: AJR is in Toronto for #AIASCS - look out for @ErinCGW and find out how to get involved writing book notes and diss spotligh…
drewjakeprof,ancientjew,Directed,4215,,,2.0,RT @ancientjew: AJR is in Toronto for #AIASCS - look out for @ErinCGW and find out how to get involved writing book notes and diss spotligh…
shaynasheinfeld,ancientjew,Directed,4216,,,1.0,RT @ancientjew: AJR is in Toronto for #AIASCS - look out for @ErinCGW and find out how to get involved writing book notes and diss spotligh…
aclclassics,andreaweiskopf,Directed,4217,,,1.0,"Congratulations to @JaneBrinley and @AndreaWeiskopf, Pre-collegiate Teaching Award recipients from #AIASCS https://t.co/qLTFjYtUWx"
diyclassics,andreaweiskopf,Directed,4218,,,2.0,Thanks to all of the #ancmakers presenters &amp; panelists—an amazing overview of digital classics at the #aiascs.
bcpublishers,andreaweiskopf,Directed,4219,,,2.0,Sold out of Ubi Fera Sunt #AIASCS
jaoreror,antiquityj,Directed,4220,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
skyejamie,antiquityj,Directed,4221,,,15.0,"RT @AntiquityJ: Can't make it to @AntiquityJ booth 115 at #aiascs #Toronto? Catch up with a FREE selection on Classical #archaeology
https:…"
matthewlloyd85,antiquityj,Directed,4222,,,2.0,"Planning a busy afternoon dashing between Pottery in sanctuaries, Palaikastro, and Minoan archaeology... #aiascs"
chesterarchsoc,antiquityj,Directed,4223,,,5.0,"RT @AntiquityJ: Can't make it to @AntiquityJ booth 115 at #aiascs #Toronto? Catch up with a FREE selection on Classical #archaeology
https:…"
lislanna,antiquityj,Directed,4224,,,2.0,Gawley provides a good lesson that there is (and should be) a human doing the productive and interpretive work w/ data. #AncMakers #aiascs
rogueclassicist,antiquityj,Directed,4225,,,13.0,JG: interesting potential puns (intended or otherwise) in results #aiascs #AncMakers
