id,label,timeset,entity_type,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,eigencentrality,clustering
_bonnefoya,_bonnefoya,,user,0,5,5,0.0,8.0,8.0,6.0,0.25656791503633314,0.2752723311546843,0.0,2,0,312,0.0,0.4000000059604645
_fmitchell_,_fmitchell_,,user,0,2,2,0.0,2.0,2.0,6.0,0.3066132264529058,0.3226579520697166,0.0,6,0,313,0.0,0.5
_masterseye,_masterseye,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,314,0.0,0.5
_rjardon,_rjardon,,user,0,2,2,0.0,4.0,4.0,6.0,0.28598130841121494,0.3019970951343497,0.0,9,0,315,0.0,0.5
_tallison,_tallison,,user,0,4,4,0.0,6.0,6.0,6.0,0.3338181818181818,0.3536673928830794,0.0,9,0,316,0.0,0.25
3brasseursca,3brasseursca,,user,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0,276,0.0012943872307215583,0.0
abroadbrush,abroadbrush,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,317,0.0,0.5
absentminddmama,absentminddmama,,user,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9,0,318,7.638721290692608E-4,0.0
acebeek,acebeek,,user,1,2,3,1.0,2.0,3.0,7.0,0.25041006014215417,0.26162923684757766,0.0,9,0,311,0.017831425026861202,0.5
achmatim,achmatim,,user,0,4,4,0.0,6.0,6.0,6.0,0.29651162790697677,0.31205519244734875,0.0,9,0,319,0.0,0.4166666567325592
aclclass,aclclass,,user,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6,0,305,0.013425748465352098,0.0
aclclassics,aclclassics,,user,7,4,11,19.0,6.0,25.0,6.0,0.2767371601208459,0.2902474526928672,725.4790674492796,9,0,311,0.08515438891164545,0.4000000059604645
acrsn_org,acrsn_org,,user,3,8,11,6.0,18.0,24.0,6.0,0.3482889733840304,0.37554585152838504,16.670827680231703,19,0,311,0.031128922967656507,0.36666667461395264
adamarenson,adamarenson,,user,0,6,6,0.0,10.0,10.0,7.0,0.24157894736842106,0.25710135906214393,0.0,20,0,320,0.0,0.1666666716337204
adamrabinowitz,adamrabinowitz,,user,0,12,12,0.0,32.0,32.0,5.0,0.36442687747035574,0.39743311641359513,0.0,9,0,323,0.0,0.1818181872367859
adbreind,adbreind,,user,0,3,3,0.0,4.0,4.0,1.0,1.0,1.0,0.0,9,0,325,0.0,0.3333333432674408
